manufacture_year,mileage_km,engine_cc,fuel_type_enc,transmission_enc,usd_pkr,make_enc,model_enc
2022,30000,660.0,0,1,203.74,15.249459269354036,15.087561993525611
2018,38000,1800.0,0,1,121.03,15.582216036861638,15.358359962182487
2018,63250,1000.0,0,1,121.03,15.582216036861638,15.105351411289421
2015,180000,1800.0,0,1,104.24,15.582216036861638,15.358359962182487
2020,24900,1000.0,0,1,161.28,15.582216036861638,15.59824380356483
2016,89000,660.0,0,1,104.65,15.147879956442214,14.753926335686495
2022,28500,2000.0,0,1,203.74,15.759401624594304,15.778089894916285
2021,144951,1600.0,0,0,162.29,15.582216036861638,15.358359962182487
2021,80000,2800.0,2,1,162.29,15.582216036861638,16.213552174451078
2020,127548,2000.0,0,1,161.28,15.53212936554385,15.705720405742982
2018,130000,1600.0,0,1,121.03,15.582216036861638,15.358359962182487
2018,18051,2700.0,0,1,121.03,15.582216036861638,17.034541540555878
2018,130000,1000.0,0,1,121.03,15.582216036861638,15.105351411289421
2017,100000,1300.0,0,0,105.49,15.582216036861638,15.358359962182487
2019,80000,660.0,0,1,149.69,14.689538551572547,14.78798076906705
2021,80500,660.0,0,0,162.29,14.689538551572547,14.78798076906705
2019,62760,1800.0,0,1,149.69,15.582216036861638,15.358359962182487
2021,139000,1800.0,0,1,162.29,15.582216036861638,15.358359962182487
2021,14000,2700.0,0,1,162.29,15.582216036861638,17.034541540555878
2022,24000,2800.0,2,1,203.74,15.582216036861638,16.39745756354409
2021,85000,1500.0,0,1,162.29,15.361645422648705,15.14411735858117
2021,102300,1200.0,0,0,162.29,15.361645422648705,15.14411735858117
2018,105600,1300.0,0,0,121.03,15.361645422648705,15.14411735858117
2016,85000,1300.0,0,0,104.65,15.361645422648705,15.14411735858117
2021,74000,660.0,0,1,162.29,15.147879956442214,15.203244234811887
2019,124000,1000.0,0,0,149.69,14.689538551572547,14.733813331245617
2018,48000,796.0,0,0,121.03,14.689538551572547,14.157175401535097
2018,62000,1800.0,0,1,121.03,15.361645422648705,15.516425399356564
2016,147500,1300.0,0,0,104.65,15.582216036861638,15.358359962182487
2021,30000,1598.0,0,1,162.29,15.582216036861638,15.358359962182487
2019,94000,1300.0,0,1,149.69,15.361645422648705,15.14411735858117
2018,146000,1300.0,0,1,121.03,15.582216036861638,15.358359962182487
2021,33000,1000.0,0,1,162.29,15.582216036861638,15.165652974498657
2019,31000,2700.0,0,1,149.69,15.582216036861638,17.034541540555878
2022,50000,1500.0,0,1,203.74,15.134372535179956,15.059329700681124
2017,84000,1800.0,0,1,105.49,15.361645422648705,15.516425399356564
2022,150000,1200.0,0,1,203.74,14.689538551572547,14.89805942031078
2018,72000,2700.0,0,1,121.03,15.582216036861638,16.39745756354409
2019,75000,660.0,0,1,149.69,14.689538551572547,14.788997292072693
2015,82400,1500.0,0,1,104.24,15.361645422648705,15.14411735858117
2015,177000,1300.0,0,1,104.24,15.582216036861638,15.358359962182487
2019,89000,1800.0,0,1,149.69,15.361645422648705,15.516425399356564
2017,140000,1600.0,0,1,105.49,15.582216036861638,15.358359962182487
2019,18969,1800.0,0,1,149.69,15.361645422648705,15.516425399356564
